ID,REVISIÓN
1,Todo estaba muy limpio.
2,El personal era amable y servicial.
3,Gente muy agradable
4,La habitación en sí estaba muy limpia.
5,Personal super amable y servicial.
6,Buen personal.
7,Personal servicial
8,El desayuno estuvo bien.
9,La ubicacion es excelente.
10,Encontramos wifi gratis en todos los demás lugares a los que fuimos
11,La habitación era muy pequeña y me cobraron 50 dólares.
12,El aparcamiento era un problema y muy caro.
13,"la escalera es un poco vieja y polvorienta donde se están realizando las obras y andamios en todo el frente del hotel ... como dije, no es un gran problema"
14,Tienes que pagar extra por wifi cada 24 horas.
15,La seguridad me regañó en el bar de la azotea por sentarme en el área equivocada. La habitación era pequeña.
16,¡No hay WiFi en el hotel a menos que esté dispuesto a pagar más de lo esperado!
17,"Hoy en día, Internet debería ser gratis en todas partes."
18,"La antigua torre no se ha revisado desde los años 70, no hay máquina de hielo, no hay wifi gratuito, la televisión no funciona correctamente, etc."
19,"Personal amable, ubicación, wifi ultrarrápido, impresora en el centro de negocios / salón, instalaciones en las habitaciones."
20,"Todo, comodidad y limpieza de la habitación, los miembros del personal son muy amables y hospitalarios, la ubicación es perfecta en el corazón de Nueva York, a 2 minutos a pie de Times Sq."
21,"Camas cómodas y buena ubicación,"
22,"Tranquilo, limpio, excelente ubicación."
23,"También está muy cerca de restaurantes, bares y tiendas (aunque prefiero East o West Village para salir de noche)."
24,El personal era muy agradable ... los baños eran muy agradables.
25,La conexión Wi-Fi gratuita también es una ventaja.
26,La ubicación y la habitación eran excepcionales.
27,"Las habitaciones son muy bonitas y limpias y si tienes suerte, obtienes una vista increíble."
28,"Ubicación: a 5 minutos de la Línea 1 del Subte, a 10 minutos de Central Park, variedad de restaurantes en la zona"
29,"Diseño elegante, sofás cómodos y agradables en el vestíbulo junto a la chimenea, personal de recepción realmente servicial, restaurante de moda y bar frecuentado por lugareños."
30,El personal era amable y el desayuno gratuito era excelente.
31,Wifi decente
32,internet gratis en la habitación
33,"Genial: bar, excelente ubicación, habitaciones de gran tamaño con una buena relación calidad-precio, noche cálida en NY a -10 C"
34,Hay un Deli a pocos metros del hotel.
35,La habitación estaba limpia y era cómoda y la inclusión del desayuno también era genial.
36,Excelente ubicación y espacio para 3 personas.
37,Junto a Balthazar para un delicioso desayuno.
38,El personal de recepción es muy antipático: no responde a las necesidades y da información incorrecta.
39,"El personal es educado, conversador y muy servicial."
40,"Aunque estaba limpia y la cama era cómoda, la habitación era un poco pequeña."
41,¡Y lo mejor de todo fue la ubicación!
42,"Wi-Fi esporádico, conexión muy lenta."
43,Las alfombras del pasillo y la alfombra de la habitación estaban sucias.
44,"A poca distancia del Empire State Building, Times Square, Central Park y Grand Central estaba a la vuelta de la esquina si prefiere tomar un tren o metro."
45,"Las habitaciones son extremadamente pequeñas, prácticamente solo una cama."
46,Colchón muy cómodo.
47,No se ofrece desayuno.
48,Fue muy conveniente.
49,El personal era miserable.
50,Sin baño en la habitación
51,Toda la cama olía asquerosa y tenía mantas realmente baratas.
52,El personal del restaurante es mucho mejor que el del hotel.
53,La cama era tan cómoda.
54,El personal de recepción no fue muy amable y aparentemente no le gustó su trabajo en absoluto.
55,Las camas son cómodas y el aire acondicionado funciona bien
56,Muy cerca de Times Square
57,"Habitaciones muy bien ubicadas, modernas, grandes y limpias."
58,El personal fue increíble.
59,El área puede ser peligrosa incluso cerca de la estación de metro.
60,alguien debe haber estado fumando en la habitación de al lado.
61,"Sucio, el ascensor es lento, tiene que compartir el baño con otros"
62,"Desayuno buffet muy bueno, nos mantuvo hasta la noche."
63,"Habitaciones muy amplias, tranquilas y muy cómodas."
64,Las luces de la sala común eran demasiado tenues.
65,Aire acondicionado funcionando bien.
66,Me quedé 5 días más con el mismo mal olor.
67,"Para los que están relativamente en forma, también está a poca distancia de Times Square / 5th Avenue, etc."
68,Mala actitud como si no quisiera estar allí.
69,"ubicación, bonita habitación tranquila y cómoda, gran wifi, excelente desayuno buffet gratuito"
70,Echaba de menos tener una nevera o un desayuno en el lugar
71,"La ubicación es genial, a una cuadra y media de la estación Grand Central."
72,"Aproximadamente a 5 cuadras a pie de Grand Central, donde puede acceder a muchas líneas de metro."
73,"Muy cerca del metro, fácil de encontrar."
74,"Terribles y pequeños cubículos, que se comercializan como habitaciones."
75,Nuestra habitación daba a la parte trasera de otro edificio de oficinas.
76,Excelente precio para un viajero de negocios en solitario.
77,Fue maravilloso trabajar con todos en este hotel.
78,El gimnasio era muy pequeño y básico.
79,"Los colchones eran demasiado ""elásticos"" e incómodos."
80,Hizo que fuera realmente fácil llegar a cualquier lugar en poco tiempo.
81,Nos pasaron de categoría.
82,El personal es muy agradable en el mostrador.
83,La habitación no se limpió ni se hizo la cama
84,"Habitaciones limpias, servicio de recepción genial, experiencia muy personal en general."
85,Cerca de Times Square.
86,Está cerca de dos estaciones de metro: Grand St y Bowery St
87,"La ubicación es increíble, justo en el corazón del distrito Flatiron."
88,No había máquinas expendedoras que funcionaran.
89,"El calor en la habitación fluctuaba, a veces sentía una pequeña corriente de aire, y en mi última noche, el ventilador era muy ruidoso."
90,"La ubicación del hotel es perfecta: a 20 metros del metro (C, E) ya una cuadra de la línea roja."
91,"El edificio estaba en renovación,"
92,"Desayuno perfecto, gran comienzo del día."
93,"Este hotel es más adecuado para viajes de negocios que para turistas, porque el centro está demasiado lejos de la mayoría de las atracciones de Manhattan."
94,Habitación demasiado pequeña para abrir la maleta.
95,"Casi todo, precio razonable para la ubicación, perfectamente ubicado, personal excelente."
96,ningún ascensor puede ser un desafío para algunas personas
97,Me picaron chinches.
98,Recibimos un descuento de $ 100 por noche cuando nos quejamos.
99,Tuve que pedirlo y obtuve solo 60 dólares de descuento.
100,La ubicación era excelente y el precio increíble.
101,La televisión no funcionaba.
102,Los pasillos de la habitación estaban viejos y no se sentían limpios.
103,el personal traerá el equipaje.
104,Parece que tienen un sesgo de género ya que solo veo a hombres trabajando en la recepción cada vez que visito el hotel.
105,El agua caliente era abundante y el aire acondicionado (unidad de ventana) estaba helado - ¡Excelente!
106,¡El desayuno era delicioso cada mañana!
107,El bar tiene un gran ambiente y sirve comida deliciosa.
108,"Internet debería ser gratis, realmente no es bueno."
109,También me cobraron de más por la limpieza en seco.
110,"Dado que esto es Nueva York y tiene un precio razonable, creo que es bastante justo."
111,También hay una estación de metro justo fuera del hotel y muchos lugares para comer y comprar.
112,Todo lo que necesitábamos estaba allí o con una llamada telefónica.
113,Cosmo se hizo de la manera correcta en todos los demás restaurantes y salones durante nuestra estadía.
114,"Nos gustó mucho la ubicación, también el personal."
115,Ubicación y precio: inmejorable en Manhattan
116,Apenas hay espacio para algo más que dormir.
117,El ascensor fue un poco complicado con el acceso con tarjeta.
118,El wi-fi gratuito era irregular y la mayor parte del tiempo no funcionaba sin explicación del personal.
119,"El personal fue increíble, muy amable y servicial."
120,"Personal amable, buena ubicación y limpio !!"
121,"Un hotel muy bueno, con una buena relación calidad-precio."
122,Tuvimos que ir al ascensor para obtener una señal adecuada.
123,La ubicación era increíble y la habitación era lo suficientemente grande para nosotros tres.
124,Falta de té o café de cortesía.
125,El acceso wifi fue excelente.
126,no son buenas condiciones de relación calidad-precio.
127,Wifi gratuito fiable.
128,El personal podría beneficiarse del servicio con una sonrisa.
129,"Pero ese desayuno, aunque bueno, era excesivamente caro."
130,El precio razonable.
131,El restaurante es muy bueno.
132,no es un desayuno real.
133,"El vestíbulo está super cargado y tuve un encuentro con una cucaracha en mi habitación, asqueroso."
134,La parte superior de la ventana fue luego cubierta por la persiana sucia.
135,"Sinceramente, la habitación es cara."
136,"La ubicación era excelente, excelentes pequeños artículos como vino / queso y desayuno complementarios era bueno."
137,"esto era de esperar, toallas limpias y limpieza de la habitación todos los días."
138,"Oye, obtienes lo que pagas."
139,El personal servicial y eficiente.
140,"Las estancias en Nueva York son caras, así que siempre que no tengas expectativas altas, esta es una buena opción."
141,La cafetería era genial y hacen buena comida.
142,Disfrutamos de bebidas en el patio del hotel.
143,"aseo, amenidades en el baño con espejo de aumento, azulejos y mármol."
144,El baño esta sucio.
145,Gran restaurante en el hotel.
146,El tipo de la recepción fue el recepcionista más antipático de todos.
147,Hotel confortable con buen restaurante adjunto.
148,Wifi fue una ventaja.
149,Este hotel fue perfecto para mis necesidades; buen valor para el dinero.
150,"Excelente relación calidad-precio, personal profesional y excelente alojamiento."
151,"Baño sin limpiar, Sin ascensor, Sin calentador, No hay suficientes baños o inodoros en cada piso"
152,No tenía dinero durante todo mi viaje porque gasté 1200 en total en mi habitación por 5 noches.
153,"Sin embargo, el restaurante de la planta baja sirve buena comida a precios razonables."
154,La habitación estaba limpia y el personal amable.
155,Las ventanas no se han limpiado durante años (si es que alguna vez lo han hecho).
156,La conexión a Internet era muy mala.
157,"En una nota positiva, estaba limpio, siempre había agua caliente y ascensores para que no tengas que subir tu equipaje por las escaleras."
158,"Larissa en la recepción fue amable y profesional, nuestra habitación en el piso 27 era buena"
159,"excelente hotel, limpio, personal muy amable y cortés, camas muy cómodas"
160,"Tuve que llamar varias veces para obtener más café ""gratuito""."
161,la alfombra está vieja y manchada.
162,Restaurante / bar conveniente y desayuno continental.
163,"Personal muy agradable, habitación limpia, cómoda."
164,"Gran personal, ubicación, desayuno."
