ID,REVISIÓN,ETIQUETA
1,Todo estaba muy limpio.,1
2,El personal era amable y servicial.,1
3,Gente muy agradable,1
4,La habitación en sí estaba muy limpia.,1
5,Personal super amable y servicial.,1
6,Buen personal.,1
7,Personal servicial,1
8,El desayuno estuvo bien.,1
9,La ubicacion es excelente.,1
10,Encontramos wifi gratis en todos los demás lugares a los que fuimos,1
11,La habitación era muy pequeña y me cobraron 50 dólares.,0
12,El aparcamiento era un problema y muy caro.,0
13,"la escalera es un poco vieja y polvorienta donde se están realizando las obras y andamios en todo el frente del hotel ... como dije, no es un gran problema",0
14,Tienes que pagar extra por wifi cada 24 horas.,0
15,La seguridad me regañó en el bar de la azotea por sentarme en el área equivocada. La habitación era pequeña.,0
16,¡No hay WiFi en el hotel a menos que esté dispuesto a pagar más de lo esperado!,0
17,"Hoy en día, Internet debería ser gratis en todas partes.",0
18,"La antigua torre no se ha revisado desde los años 70, no hay máquina de hielo, no hay wifi gratuito, la televisión no funciona correctamente, etc.",0
19,"Personal amable, ubicación, wifi ultrarrápido, impresora en el centro de negocios / salón, instalaciones en las habitaciones.",1
20,"Todo, comodidad y limpieza de la habitación, los miembros del personal son muy amables y hospitalarios, la ubicación es perfecta en el corazón de Nueva York, a 2 minutos a pie de Times Sq.",1
21,"Camas cómodas y buena ubicación,",1
22,"Tranquilo, limpio, excelente ubicación.",1
23,"También está muy cerca de restaurantes, bares y tiendas (aunque prefiero East o West Village para salir de noche).",1
24,El personal era muy agradable ... los baños eran muy agradables.,1
25,La conexión Wi-Fi gratuita también es una ventaja.,1
26,La ubicación y la habitación eran excepcionales.,1
27,"Las habitaciones son muy bonitas y limpias y si tienes suerte, obtienes una vista increíble.",1
28,"Ubicación: a 5 minutos de la Línea 1 del Subte, a 10 minutos de Central Park, variedad de restaurantes en la zona",1
29,"Diseño elegante, sofás cómodos y agradables en el vestíbulo junto a la chimenea, personal de recepción realmente servicial, restaurante de moda y bar frecuentado por lugareños.",1
30,El personal era amable y el desayuno gratuito era excelente.,1
31,Wifi decente,1
32,internet gratis en la habitación,1
33,"Genial: bar, excelente ubicación, habitaciones de gran tamaño con una buena relación calidad-precio, noche cálida en NY a -10 C",1
34,Hay un Deli a pocos metros del hotel.,1
35,La habitación estaba limpia y era cómoda y la inclusión del desayuno también era genial.,1
36,Excelente ubicación y espacio para 3 personas.,1
37,Junto a Balthazar para un delicioso desayuno.,1
