ID,REVIEW
1,Everything was very clean.
2,The staff was friendly and helpful.
3,Very nice people
4,The room itself was very clean.
5,Super friendly and helpful staff.
6,Nice staff.
7,Helpful staff
8,The breakfast was ok.
9,Location is excellent.
10,We found free wifi everywhere else we went
11,Room was so small and they charge me 50 dollar.
12,Parking was a problem and very expensive.
13,"the staircase is a bit old and dusty where works are taking place and scaffolding all over the front of the hotel... like I said, not a massive deal"
14,You have to pay extra for wifi every 24hrs.
15,I got told off at the roof top bar for sitting in the wrong area by the security.The room was tiny.
16,No WiFi in hotel unless you were prepared to pay well over the odds!
17,Nowadays the internet should be for free everywhere.
18,"The old tower has not been overhauled since the 70ies, no ice machine, no free wifi, TV not working properly etc."
19,"Friendly staff, location, blazing fast wifi, printer at business center/lounge, facilities in the rooms."
20,"Everything , Room comfort & cleanliness , Staff members are so friendly and hospitable , location is perfect in the heart of NYC  , 2 min walk from Times Sq !"
21,"Beds comfy and location good,"
22,"Quiet, clean, great great location!"
23,"It's also very close to restaurants, bars and shopping (even though I prefer East or West village to go out at night)."
24,Staff was very nice....bathrooms were very nice.
25,Complimentary Wi-Fi is also a win.
26,The location and the room were exceptional.
27,"The rooms are very nice and clean and if you get lucky, you get a amazing view."
28,"Location: 5 minutes from Subway Line 1, 10 minutes from Central Park, variety of restaurants in the area"
29,"Stylish design, nice comfy sofas in lobby next to fireplace, really helpful front desk staff, trendy restaurant and bar frequented by locals."
30,The staff was friendly and the complimentary breakfast was excellent!
31,Decent wifi
32,internet free at the room
33,"Great: Bar, great location, big size rooms decent value per money, warm night on NY at -10 C"
34,There is a Deli a few meters away from the hotel.
35,The room was clean and comfortable and the inclusion of the breakfast was great too.
36,Great location and easy room for 3 people.
37,Next to Balthazar for a delicious breakfast
38,Very unfriendly staff at reception: not responding to needs and giving wrong information.
39,"The staff are polite, chatty and very helpful."
40,"Although clean and the bed comfy, the room was a little on the small side."
41,And best of all was the location!
42,"Wi-Fi sporadic, very slow connection."
43,Carpets in the hall and rug in the room was dirty.
44,"Within walking distance of the Empire State Building, Times Square, Central Park and grand central was just around the corner if you prefer to take a train or subway."
45,"The rooms are extremely small, practically only a bed."
46,Mattress very comfortable.
47,No breakfast offered.
48,It was very convenient.
49,Staff were miserable.
50,No bathroom in room
51,The entire bed smelled gross and had really cheap blankets.
52,Restaurant staff are much better than the hotel ones.
53,The bed was soooo comfy.
54,Front desk stuff was not really friendly and apparently she didn't like her work at all.
55,Beds are comfortable and air conditioning is working well
56,Very close to Times Square
57,"Very well located, modern, large and clean rooms."
58,The staff was unbelievable.
59,Area can be dangerous even close to the metro statıon.
60,someone must have been smoking in the room next door.
61,"Unclean, elevator is slow, have to share a bathroom with others"
62,"Buffet breakfast very good, kept us going until evening"
63,"Very spacious rooms, quiet and very comfortable."
64,Lights in the common room were too dim.
65,Air conditioning working fine.
66,I stayed 5 more days with the same bad smell.
67,"For the relatively fit, it is also walking distance to Times Square/5th Avenue etc."
68,Bad attitude like he didn't want to be there.
69,"location, nice quiet comfortable room, great wifi, excellent free buffet breakfast"
70,Missed having a fridge or breakfast on site
71,Location is brilliant - a block and a half from Grand Central Station.
72,About a 5 block walk from Grand Central where you can access many subway lines.
73,"Very close to the subway, easy to find."
74,"Terrible, small cubbyholes, which are marketed as rooms."
75,Our room was facing the back of another office building.
76,Great price for a solo business traveler.
77,Everyone at this hotel was wonderful to work with.
78,The gym was very small and basic
79,"The mattresses were too ""springy"" and uncomfortable."
80,Made it really easy to get anywhere within a short time.
81,We were upgraded.
82,Staff if very nice at the desk.
83,Room wasn't cleaned or bed made up
84,"Clean rooms, genial desk service, very personal experience overall."
85,Close to Times Square.
86,It is near two subway stations: Grand St and Bowery St
87,The location is amazing - right in the heart of the Flatiron District.
88,There were not vending machines that worked.
89,"The heat in the room fluctuated -- at times it felt a little draft, and on my last night, the fan was really loud."
90,"The position of the hotel is perfect - 20mt  from the Subway (C,E) and one block from the red line."
91,"The building was under renovation,"
92,"Perfect breakfast, great start for the day."
93,"This hotel suits more for business trips rather than for tourists, because Downtown is too far from the most attractions of Manhattan."
94,Room too small to open suitcase.
95,"Almost everything - price reasonable for location, perfectly located - terrific staff."
96,no elevator might be a challenge for some people
97,Got bitten by bedbugs.
98,We received a $100 a night discount when we complained.
99,I had to ask for it and got just 60 dollars discount.
100,The location was excellent and the price was amazing.
101,The TV was not working.
102,Hallways to room stale and didn't feel clean.
103,staff will bring luggage up.
104,They seem to have a gender bias as i only see men working at the reception every time i visit the hotel!
105,Hot water was abundant and the A/C (window unit) was ice cold - Excellent!
106,Breakfast was delicious each morning!
107,Bar has a great atmosphere and serves delicious food.
108,Internet should be free--really not good.
109,I was also overcharged for dry cleaning.
110,"given this is New York and it is reasonably priced, I think that is fair enough!"
111,There's also a subway station right outside the hotel and plenty of places to eat and shop.
112,Anything we needed was just there or a phone call away.
113,Cosmo was made the right way at all other restaurants and lounges during our stay
114,"we liked very much the location, also the staff."
115,Location & price - unbeatable in Manhattan
116,Barely room for anything else than sleep.
117,Lift was a bit of a pain with card access.
118,Free wi-fi was spotty and most of the time it was down with no explanation from staff.
119,"The staff were amazing, so friendly and helpful."
120,"Friendly staff, good location and clean!!"
121,A very good hotel - good value for money.
122,We had to go to the elevator to get a proper signal.
123,The location was amazing and the room was big enough for the three of us.
124,Lack of complimentary tea or coffee.
125,Wifi access was excellent.
126,not good terms for value for money.
127,Reliable free wifi.
128,Staff could benefit from service with a smile.
129,"But, that breakfast, while good, was obscenely overpriced."
130,The price reasonable.
131,The restaurant is very good.
132,not real breakfast.
133,"Lobby is super load and i had a cockroach encounter in my room, gross."
134,The top of the window was then covered by the dirty blind.
135,"Honestly, the room is overpriced."
136,"Location was superb, excellent little items like complementary wine/cheese & breakfast was good."
137,"this was expected, clean towels and room cleaned every day."
138,hey you get what you pay for.
139,The helpful and efficient staff.
140,Stays in NY are expensive so as long as you do not have high expectations then this  one is an ok choice.
141,Cafeteria was great and they make good food
142,We enjoyed drinks on the patio of the hotel.
143,"cleanliness, the amenities in the bathroom with make-up mirror, tile and marble."
144,The bathroom is dirty.
145,Great restaurant in the hotel.
